URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CACHE_CONTROL,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPROV,WHOIS_REGDATE,UPDATE_DATE,WHITIN_DOMAIN,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,UDP_PACKETS,TCP_URG_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,TIPO
M0_69,22,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,CO,15/09/2013 0:00,25/02/2017 0:00,roorbong.com,9,0,4,850,0,0,11,9,1354,994,11,2,Maligna
B0_161,22,6,utf-8,openresty/1.11.2.1,max-age=0; private; must-revalidate,NA,US,CA,3/07/1999 0:00,7/08/2015 0:00,project86.com,39,29,6,3833,0,0,43,42,22495,4125,43,4,Benigna
B0_2122,22,6,iso-8859-1,nginx,None,318,US,Tennessee,2/11/2003 0:00,29/06/2015 0:00,edonnelly.com,8,6,6,696,0,0,8,10,636,696,8,0,Benigna
B0_2176,22,6,iso-8859-1,Apache/2.2.22,None,224,None,None,12/08/2008 22:10,13/07/2016 17:36,miramusic.biz,4,3,2,420,0,0,4,6,372,420,4,0,Benigna
B0_569,22,7,utf-8,Apache/2.4.7 (Ubuntu),no-cache,4421,AU,Vi,21/05/2009 0:00,15/05/2016 0:00,eicon-vic.com,12,0,2,2259,0,0,16,12,5165,2559,16,4,Benigna
B0_601,22,6,UTF-8,nginx/1.12.0,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,US,FL,1/08/2002 0:00,22/03/2016 0:00,merichina.com,6,0,3,650,0,0,10,10,1417,950,10,4,Benigna
B0_884,22,6,ISO-8859-1,Apache,None,441,US,OR,13/01/2005 0:00,2/03/2017 0:00,handvband.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_905,22,6,ISO-8859-1,nginx/1.12.0,None,NA,US,Texas,18/05/2005 19:41,19/05/2016 10:14,albanyfcc.org,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_916,22,6,utf-8,nginx,private; no-store; no-cache; max-age=0,6671,CA,ALBERTA,4/01/2001 0:00,3/03/2017 0:00,mikelaing.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_102,23,6,utf-8,Apache,post-check=0; pre-check=0,NA,US,FL,28/02/2008 10:58,14/02/2017 20:27,elpasoymca.org,16,3,11,1696,0,0,18,20,13422,1844,18,2,Benigna
B0_1130,23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,434,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,convertico.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1185,23,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,se,None,16/06/2000 0:00,18/05/2016 0:00,vietnampix.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1369,23,6,utf-8,nginx,public; max-age=21600,13001,None,None,None,None,calstatela.edu,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1412,23,7,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,None,3257,None,None,13/10/2000 0:00,27/04/2017 0:00,uwo.ca,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2217,23,6,ISO-8859-1,None,no-cache,6748,US,Arizona,31/12/1999 0:00,9/04/2017 0:00,country965.com,7,4,5,630,0,0,7,4,244,630,7,0,Benigna
B0_2240,23,7,UTF-8,nginx,public; max-age=86400,NA,None,None,None,None,afribaba.co.za,24,5,8,1740,0,0,24,11,696,1740,24,0,Benigna
B0_23,23,6,None,None,None,NA,US,TX,30/07/1996 0:00,4/07/2016 0:00,vrbo.com,19,7,6,2404,0,0,23,20,6179,2684,23,4,Benigna
B0_241,23,6,UTF-8,None,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,GB,None,9/05/2008 0:00,27/11/2015 0:00,primeloops.com,19,14,6,1980,0,0,23,25,5737,2276,23,4,Benigna
B0_285,23,6,UTF-8,None,no-cache,NA,US,WI,23/04/1999 0:00,25/07/2016 0:00,webfederal.com,4,0,1,519,0,0,8,8,1138,823,8,4,Benigna
B0_465,23,6,UTF-8,cloudflare-nginx,must-revalidate,NA,US,Oregon,4/02/1997 0:00,8/11/2014 0:00,picosecond.com,10,0,5,1186,0,0,14,15,1900,1476,14,4,Benigna
B0_599,23,6,ISO-8859-1,nginx/1.12.0,None,NA,IN,Andhra Pradesh,13/02/2003 0:00,14/02/2017 0:00,rgaviation.com,43,4,4,5738,0,0,47,50,56926,6046,47,4,Benigna
B0_614,23,6,iso-8859-1,Apache,None,240,US,CA,17/05/2008 0:00,18/05/2016 0:00,shakabanga.com,8,0,2,723,0,0,10,11,1837,871,10,2,Benigna
B0_622,23,6,ISO-8859-1,Apache,None,3985,CA,AB,30/05/2002 0:00,31/05/2016 0:00,reedatwood.com,40,17,16,3285,0,0,46,45,12003,3729,46,6,Benigna
B0_790,23,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,None,None,20/10/2005 0:00,30/09/2016 0:00,kimcampbell.ca,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_175,24,8,ISO-8859-1,nginx/1.6.2,None,6173,None,None,None,None,x10.mx,2,0,1,132,0,0,2,5,318,132,2,0,Maligna
M0_89,24,9,iso-8859-1,Apache,None,319,IN,Tamil Nadu,None,None,tpt.edu.in,7,0,2,720,0,0,9,10,1269,868,9,2,Maligna
B0_108,24,6,utf-8,openresty,no-cache,NA,LU,None,7/01/2006 0:00,14/12/2016 0:00,redtube.com,84,54,5,10490,0,0,96,106,106925,11482,96,12,Benigna
B0_126,24,6,ISO-8859-1,None,None,34,US,VA,5/03/1996 5:00,27/05/2016 14:46,innsofcourt.org,65,3,5,6286,0,0,69,75,90508,6596,69,4,Benigna
B0_171,24,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,14,6,6,1907,0,0,18,18,5601,2171,18,4,Benigna
B0_2301,24,6,utf-8,Heptu web server,no-cache; no-store; private,1778,None,None,10/01/1998 0:00,11/11/2012 0:00,itsyourturn.com,7,7,3,618,0,0,7,9,562,618,7,0,Benigna
B0_2313,24,6,utf-8,Pepyaka/1.11.3,no-cache,NA,None,None,27/04/2016 0:00,29/04/2017 0:00,royaltymgmt.com,6,3,2,528,0,0,6,4,244,528,6,0,Benigna
B0_2315,24,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,CA,quebec,7/04/2011 0:00,8/04/2017 0:00,pcrepairmtl.com,6,4,4,564,0,0,6,8,508,564,6,0,Benigna
B0_282,24,8,iso-8859-1,Apache/2.2.22,None,224,US,MA,26/02/2009 0:00,6/01/2017 0:00,a-team-band.com,19,2,4,2131,0,0,23,23,9471,2441,23,4,Benigna
B0_321,24,6,utf-8,nginx/1.8.0,no-cache,NA,CA,ON,3/07/2002 0:00,2/07/2016 0:00,learnmichif.com,12,2,7,984,0,0,16,16,1839,1292,16,4,Benigna
B0_326,24,7,iso-8859-1,Apache,None,318,None,None,None,None,goodstart.co.za,21,1,8,1606,0,0,25,13,1276,1914,25,4,Benigna
B0_483,24,7,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,no-cache; no-store,NA,None,None,21/02/1995 0:00,19/02/2017 0:00,mahalo.com,16,6,8,2279,0,0,22,22,2562,2729,22,6,Benigna
B0_543,24,6,iso-8859-1,Apache/2,None,345,US,New Mexico,4/07/2007 0:00,5/07/2016 0:00,nmpcrepairs.com,19,5,9,1390,0,0,21,25,3890,1540,21,2,Benigna
B0_656,24,6,UTF-8,Apache,None,756,PA,PANAMA,2/07/1998 0:00,6/02/2017 0:00,hardbuddies.com,23,3,15,2485,0,0,27,28,9332,2799,27,4,Benigna
B0_1163,25,6,utf-8,Apache/2.2.29 (Amazon),None,NA,CA,British Columbia,10/03/2005 0:00,4/01/2017 0:00,robinmcinnis.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1308,25,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1347,25,6,UTF-8,nginx,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,14839,US,NY,15/12/2004 0:00,13/11/2016 0:00,vimeo.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2127,25,6,us-ascii,Microsoft-IIS/7.5,None,324,US,Massachusetts,25/02/2008 0:00,26/02/2017 0:00,fadsplymouth.com,5,2,4,474,0,0,5,4,250,474,5,0,Benigna
B0_2224,25,6,UTF-8,LiteSpeed,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,None,None,27/01/2005 0:00,15/11/2013 0:00,comforttravel.ca,6,5,2,564,0,0,6,7,442,564,6,0,Benigna
B0_468,25,6,UTF-8,Apache,no-cache; must-revalidate; max-age=0,NA,US,California,14/09/2006 0:00,9/09/2016 0:00,secondoctave.com,12,0,5,1327,0,0,16,17,14050,1615,16,4,Benigna
B0_568,25,6,UTF-8,nginx,no-cache,658,None,None,None,None,ghettostudios.tk,11,3,4,1232,0,0,15,16,9806,1530,15,4,Benigna
B0_577,25,6,UTF-8,None,no-cache,NA,TH,bangkok,30/04/2010 14:12,12/03/2017 1:47,donferguson.info,18,7,9,1586,0,0,22,17,1735,1898,22,4,Benigna
B0_704,25,6,ISO-8859-1,Apache,no-store,NA,US,CA,22/04/1997 0:00,22/02/2017 0:00,mylife.com,36,17,9,4737,0,0,42,35,10343,5173,42,6,Benigna
B0_781,25,6,UTF-8,Apache,None,195,GB,WEST MIDLANDS,16/07/2016 0:00,22/12/2016 0:00,handsomefurs.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_786,25,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,CO,27/11/2016 19:09,1/02/2017 0:01,homemadesoup.org,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_886,25,6,ISO-8859-1,Apache,None,NA,US,California,30/10/2009 0:00,27/10/2016 0:00,sodiumbabies.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_111,26,8,UTF-8,nginx,no-cache; must-revalidate; max-age=0,NA,None,None,12/03/2009 21:00,None,stirparts.ru,12,0,2,1052,0,0,14,14,11935,1204,14,2,Maligna
M0_15,26,8,utf-8,nginx,None,NA,None,None,9/03/2000 17:50,None,antalya.ru,9,1,2,878,0,0,11,12,2242,1018,11,2,Maligna
M0_171,26,7,ISO-8859-1,nginx/1.12.0,None,4166,US,TEXAS,30/05/2008 0:00,30/05/2016 0:00,aintdoinshit.com,24,0,3,2508,0,0,30,30,21098,2992,30,6,Maligna
M0_68,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,962,GB,WC1N,25/09/2000 0:00,18/07/2016 0:00,thcvaporizer.com,9,0,4,842,0,0,11,12,2101,994,11,2,Maligna
M0_70,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,962,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,thcextractor.com,7,0,2,722,0,0,11,10,2000,1016,11,4,Maligna
M0_72,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,962,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,potvaporizer.com,7,0,2,722,0,0,11,9,1913,1036,11,4,Maligna
B0_1125,26,6,utf-8,nginx,store; no-cache; must-revalidate; post-check=0; pre-check=0,2688,US,Kentucky,11/01/1997 0:00,30/04/2015 0:00,overbrookfarm.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1205,26,7,UTF-8,cloudflare-nginx,None,NA,US,MD,11/06/2000 0:00,3/03/2017 0:00,freewebs.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1321,26,6,UTF-8,nginx,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,CA,ON,13/02/2002 19:55,23/02/2017 17:46,mandysroyalty.org,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1374,26,6,iso-8859-1,Apache,None,199,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,billybushshow.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_159,26,6,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,no-store; no-cache; must-revalidate; post-check=0; pre-check=0; public,3548,None,None,6/11/1997 0:00,6/11/2016 0:00,clubchambeaux.com,13,0,1,1378,0,0,19,19,6226,1856,19,6,Benigna
B0_173,26,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,26,19,5,2727,0,0,30,19,5765,2991,30,4,Benigna
B0_179,26,6,None,tsa_c,None,0,US,CA,21/01/2000 0:00,8/11/2016 0:00,twitter.com,43,39,3,6325,0,0,53,50,32025,7063,53,10,Benigna
B0_2027,26,6,ISO-8859-1,nginx/1.12.0,None,5426,US,NEW YORK,27/04/2009 0:00,27/02/2017 0:00,fourellemusic.com,9,7,4,702,0,0,9,10,696,702,9,0,Benigna
B0_2152,26,7,utf-8,Apache/2.2.0 (Fedora),no-cache; must-revalidate,NA,None,None,11/10/2000 0:00,12/12/2016 0:00,mcgill.ca,11,9,7,882,0,0,11,9,562,882,11,0,Benigna
B0_2293,26,6,UTF-8,None,None,NA,CA,British Columbia,4/08/1998 0:00,10/04/2017 0:00,liannaklassen.com,4,3,2,396,0,0,4,6,482,396,4,0,Benigna
B0_256,26,6,iso-8859-1,Apache/2,None,345,US,FL,31/05/2000 0:00,2/04/2014 0:00,davidgarrison.com,43,0,2,3252,0,0,47,47,60076,3564,47,4,Benigna
B0_258,26,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,46,12,11,3783,0,0,50,18,5605,4047,50,4,Benigna
B0_297,26,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,21,8,9,2373,0,0,25,27,6199,2637,25,4,Benigna
B0_660,26,6,utf-8,cloudflare-nginx,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,US,Washington,23/10/1999 0:00,13/08/2016 0:00,aaanativearts.com,7,0,2,984,0,0,11,12,1650,1300,11,4,Benigna
B0_793,26,6,ISO-8859-1,nginx/1.12.0,None,NA,US,Colorado,23/06/2010 0:00,23/04/2015 0:00,aspenjewelbox.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_859,26,6,us-ascii,None,None,324,US,TX,9/03/2000 0:00,13/02/2014 0:00,charlesrgreen.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_883,26,6,UTF-8,cloudflare-nginx,public; max-age=3600,NA,US,PA,13/04/1994 0:00,13/03/2017 0:00,harpercollins.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_928,26,6,UTF-8,nginx,no-cache; must-revalidate; max-age=60,NA,US,LA,9/06/2010 0:00,21/06/2016 0:00,saaqcarrental.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_982,26,6,utf-8,nginx/1.12.0,no-cache,NA,US,Arizona,29/04/2009 0:00,8/03/2017 0:00,wmbstrategies.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_67,27,7,UTF-8,Apache/2.2.22 (Debian),no-store; no-cache; must-revalidate; post-check=0; pre-check=0,8756,GB,WC1N,16/06/2000 0:00,16/02/2016 0:00,trafficgrowth.com,38,0,3,4207,0,0,44,45,39662,4679,44,6,Maligna
M0_75,27,7,UTF-8,Apache,None,193,US,PA,19/01/2015 0:00,3/03/2017 0:00,cannabislyric.com,9,0,1,1838,0,0,11,13,4524,1992,11,2,Maligna
B0_1209,27,8,UTF-8,nginx,None,NA,US,WA,11/11/2015 0:00,13/03/2017 0:00,fuck-toons.net,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1353,27,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,CO,22/03/2017 0:00,23/03/2017 0:00,kaniehtiiohorn.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2085,27,6,utf-8,openresty/1.11.2.1,max-age=0; private; must-revalidate,NA,US,TEXAS,3/11/2009 0:00,4/03/2017 0:00,timstokesmusic.com,3,3,1,366,0,0,3,5,306,366,3,0,Benigna
B0_362,27,6,UTF-8,Apache/2.2.15 (CentOS),None,NA,AU,Queensland,19/07/2010 20:03,20/09/2016 13:11,reachoutrescue.org,40,13,14,3781,0,0,46,44,34101,4253,46,6,Benigna
B0_453,27,6,UTF-8,Apache/2.4.25,no-cache; must-revalidate; max-age=0,7967,None,None,28/04/1997 0:00,24/04/2017 0:00,sscoachcompany.com,6,0,4,631,0,0,8,11,812,787,8,2,Benigna
B0_966,27,7,ISO-8859-1,Apache,None,11506,US,FL,4/03/1996 0:00,7/01/2015 0:00,mobay.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_21,28,9,UTF-8,Apache/2.2.15 (CentOS),None,NA,RU,MOSCOW,24/10/2007 0:00,22/10/2016 0:00,traff1.com,5,0,1,592,0,0,7,9,1062,732,7,2,Maligna
M0_94,28,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,FL,21/10/2004 0:00,14/10/2014 0:00,websalesusa.com,5,0,2,556,0,0,9,9,1154,860,9,4,Maligna
B0_1020,28,8,utf-8,nginx,max-age=0; no-cache; no-store,39036,[u'GB'; u'UK'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,last.fm,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1038,28,6,ISO-8859-1,None,private; no-cache; no-store; must-revalidate,NA,US,CA,29/03/1997 0:00,29/11/2016 0:00,facebook.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1357,28,7,iso-8859-1,Apache,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,FR,None,10/06/2008 0:00,9/06/2016 0:00,urbeez.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1413,28,7,ISO-8859-1,cloudflare-nginx,None,NA,NL,P,30/11/1999 0:00,6/03/2017 0:00,filmbug.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2061,28,7,us-ascii,None,None,NA,US,NH,30/08/2004 0:00,18/08/2016 0:00,zenfolio.com,6,4,3,552,0,0,6,8,612,552,6,0,Benigna
B0_2182,28,7,ISO-8859-1,cloudflare-nginx,None,NA,NL,P,30/11/1999 0:00,6/03/2017 0:00,filmbug.com,8,4,6,696,0,0,8,10,634,696,8,0,Benigna
B0_2228,28,6,us-ascii,Microsoft-IIS/7.5,None,324,US,Pennsylvania,11/11/1996 0:00,27/04/2015 0:00,sovereigncenter.com,5,3,3,474,0,0,5,6,364,474,5,0,Benigna
B0_229,28,7,utf-8,Apache,no-cache; must-revalidate,8578,CA,ON,2/10/1995 4:00,30/09/2016 9:12,mises.org,21,7,5,2830,0,0,29,25,6137,3400,29,8,Benigna
B0_2309,28,6,UTF-8,Apache,None,10576,IN,UTTAR PRADESH,28/06/2011 0:00,2/03/2017 0:00,noidalaminators.com,14,9,2,2094,0,0,14,12,8019,2094,14,0,Benigna
B0_310,28,7,us-ascii,Microsoft-IIS/7.5,None,324,None,None,16/08/2016 0:00,26/03/2017 0:00,arikairlines.org.uk,17,1,7,1848,0,0,23,24,2167,2322,23,6,Benigna
B0_332,28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,private; must-revalidate; max-age=0,12846,US,NC,9/05/2000 17:31,11/10/2016 0:20,aboutus.org,17,12,3,2314,0,0,23,27,21419,2740,23,6,Benigna
B0_438,28,7,UTF-8,GSE,no-cache; no-store; max-age=0; must-revalidate,6666,US,CA,31/07/2000 0:00,29/06/2016 0:00,blogspot.com,66,5,11,6311,0,0,70,64,63634,6633,70,4,Benigna
B0_563,28,6,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,None,445,US,FL,14/05/1999 0:00,2/04/2014 0:00,themegcompanies.com,28,5,8,2324,0,0,30,33,24662,2482,30,2,Benigna
B0_638,28,8,UTF-8,Apache,None,NA,US,Arizona,24/04/2009 0:00,18/03/2017 0:00,brleader.com,6,0,3,632,0,0,8,8,593,776,8,2,Benigna
B0_695,28,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,None,None,None,None,nsuok.edu,33,26,4,3590,0,0,39,48,30057,4064,39,6,Benigna
B0_835,28,6,utf-8,Pepyaka/1.11.3,no-cache,NA,US,NY,6/08/1998 0:00,7/11/2014 0:00,villagevanguard.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_96,28,6,utf-8,None,no-cache,NA,US,CA,22/02/1996 0:00,16/01/2015 0:00,myspace.com,26,19,3,2632,0,0,30,36,27404,2916,30,4,Benigna
B0_981,28,6,UTF-8,nginx,max-age=172800,18438,US,California,15/06/2007 0:00,12/05/2015 0:00,bamboosfbayarea.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_106,29,7,ISO-8859-1,Apache,None,7314,US,MD,21/09/2009 0:00,9/08/2016 0:00,quotidiennokoue.com,34,0,2,2934,0,0,40,40,34995,3416,40,6,Maligna
M0_74,29,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,UG,kireka,9/04/2002 0:00,18/04/2017 0:00,cannabispicture.com,5,0,2,593,0,0,7,8,1128,751,7,2,Maligna
B0_1044,29,6,ISO-8859-1,Apache,no-store,NA,US,CA,22/04/1997 0:00,22/02/2017 0:00,mylife.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1051,29,6,None,tsa_c,None,0,US,CA,21/01/2000 0:00,8/11/2016 0:00,twitter.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1095,29,8,ISO-8859-1,Apache,no-cache,9136,US,CA,20/01/1995 0:00,22/11/2016 0:00,reunion.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1096,29,6,UTF-8,Apache,private,5019,US,IL,28/03/2006 0:00,24/02/2017 0:00,folkartbyrebecca.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1117,29,7,utf-8,nginx,must-revalidate,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,wn.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1154,29,6,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,None,210,US,Missouri,28/09/2007 16:06,28/03/2017 18:24,ruskinhighschool.org,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1287,29,6,UTF-8,Apache/2.2.22 (Debian),no-store; no-cache; must-revalidate; post-check=0; pre-check=0,8654,JP,Osaka,4/02/2017 0:00,4/02/2017 0:00,newyorkgaytravel.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1408,29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),None,238,CA,QC,7/03/1996 0:00,9/03/2017 0:00,ogilvyrenault.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
